DATE,STLFSI
1993-12-31,0.198
1994-01-07,0.243
1994-01-14,0.186
1994-01-21,0.204
1994-01-28,0.180
1994-02-04,0.164
1994-02-11,0.271
1994-02-18,0.273
1994-02-25,0.365
1994-03-04,0.443
1994-03-11,0.476
1994-03-18,0.470
1994-03-25,0.510
1994-04-01,0.621
1994-04-08,0.753
1994-04-15,0.692
1994-04-22,0.724
1994-04-29,0.644
1994-05-06,0.719
1994-05-13,0.891
1994-05-20,0.726
1994-05-27,0.745
1994-06-03,0.779
1994-06-10,0.701
1994-06-17,0.714
1994-06-24,0.781
1994-07-01,0.908
1994-07-08,0.903
1994-07-15,0.822
1994-07-22,0.725
1994-07-29,0.704
1994-08-05,0.682
1994-08-12,0.753
1994-08-19,0.664
1994-08-26,0.672
1994-09-02,0.660
1994-09-09,0.711
1994-09-16,0.746
1994-09-23,0.753
1994-09-30,0.872
1994-10-07,0.902
1994-10-14,0.913
1994-10-21,0.890
1994-10-28,0.923
1994-11-04,0.900
1994-11-11,0.919
1994-11-18,0.902
1994-11-25,0.951
1994-12-02,0.927
1994-12-09,0.918
1994-12-16,0.945
1994-12-23,0.964
1994-12-30,0.979
1995-01-06,1.051
1995-01-13,0.949
1995-01-20,0.893
1995-01-27,0.898
1995-02-03,0.829
1995-02-10,0.806
1995-02-17,0.815
1995-02-24,0.796
1995-03-03,0.800
1995-03-10,0.906
1995-03-17,0.802
1995-03-24,0.784
1995-03-31,0.804
1995-04-07,0.810
1995-04-14,0.801
1995-04-21,0.793
1995-04-28,0.740
1995-05-05,0.713
1995-05-12,0.692
1995-05-19,0.670
1995-05-26,0.595
1995-06-02,0.626
1995-06-09,0.649
1995-06-16,0.720
1995-06-23,0.695
1995-06-30,0.741
1995-07-07,0.718
1995-07-14,0.617
1995-07-21,0.654
1995-07-28,0.742
1995-08-04,0.732
1995-08-11,0.688
1995-08-18,0.699
1995-08-25,0.660
1995-09-01,0.686
1995-09-08,0.626
1995-09-15,0.594
1995-09-22,0.619
1995-09-29,0.665
1995-10-06,0.628
1995-10-13,0.609
1995-10-20,0.598
1995-10-27,0.638
1995-11-03,0.549
1995-11-10,0.489
1995-11-17,0.497
1995-11-24,0.468
1995-12-01,0.428
1995-12-08,0.402
1995-12-15,0.405
1995-12-22,0.523
1995-12-29,0.491
1996-01-05,0.440
1996-01-12,0.489
1996-01-19,0.463
1996-01-26,0.429
1996-02-02,0.379
1996-02-09,0.404
1996-02-16,0.411
1996-02-23,0.500
1996-03-01,0.579
1996-03-08,0.609
1996-03-15,0.742
1996-03-22,0.712
1996-03-29,0.714
1996-04-05,0.736
1996-04-12,0.847
1996-04-19,0.820
1996-04-26,0.732
1996-05-03,0.791
1996-05-10,0.800
1996-05-17,0.691
1996-05-24,0.644
1996-05-31,0.699
1996-06-07,0.760
1996-06-14,0.784
1996-06-21,0.767
1996-06-28,0.749
1996-07-05,0.738
1996-07-12,0.786
1996-07-19,0.807
1996-07-26,0.828
1996-08-02,0.828
1996-08-09,0.661
1996-08-16,0.640
1996-08-23,0.640
1996-08-30,0.743
1996-09-06,0.852
1996-09-13,0.745
1996-09-20,0.728
1996-09-27,0.784
1996-10-04,0.786
1996-10-11,0.729
1996-10-18,0.668
1996-10-25,0.682
1996-11-01,0.651
1996-11-08,0.547
1996-11-15,0.508
1996-11-22,0.484
1996-11-29,0.517
1996-12-06,0.598
1996-12-13,0.691
1996-12-20,0.726
1996-12-27,0.642
1997-01-03,0.675
1997-01-10,0.704
1997-01-17,0.661
1997-01-24,0.644
1997-01-31,0.677
1997-02-07,0.631
1997-02-14,0.527
1997-02-21,0.525
1997-02-28,0.553
1997-03-07,0.603
1997-03-14,0.599
1997-03-21,0.642
1997-03-28,0.653
1997-04-04,0.814
1997-04-11,0.765
1997-04-18,0.760
1997-04-25,0.799
1997-05-02,0.750
1997-05-09,0.757
1997-05-16,0.730
1997-05-23,0.688
1997-05-30,0.745
1997-06-06,0.762
1997-06-13,0.702
1997-06-20,0.647
1997-06-27,0.649
1997-07-04,0.600
1997-07-11,0.541
1997-07-18,0.497
1997-07-25,0.482
1997-08-01,0.441
1997-08-08,0.447
1997-08-15,0.519
1997-08-22,0.520
1997-08-29,0.549
1997-09-05,0.610
1997-09-12,0.602
1997-09-19,0.549
1997-09-26,0.562
1997-10-03,0.545
1997-10-10,0.516
1997-10-17,0.562
1997-10-24,0.594
1997-10-31,0.758
1997-11-07,0.672
1997-11-14,0.727
1997-11-21,0.594
1997-11-28,0.562
1997-12-05,0.504
1997-12-12,0.551
1997-12-19,0.559
1997-12-26,0.505
1998-01-02,0.434
1998-01-09,0.478
1998-01-16,0.434
1998-01-23,0.459
1998-01-30,0.428
1998-02-06,0.378
1998-02-13,0.326
1998-02-20,0.308
1998-02-27,0.279
1998-03-06,0.395
1998-03-13,0.368
1998-03-20,0.285
1998-03-27,0.337
1998-04-03,0.399
1998-04-10,0.360
1998-04-17,0.360
1998-04-24,0.378
1998-05-01,0.477
1998-05-08,0.394
1998-05-15,0.363
1998-05-22,0.297
1998-05-29,0.373
1998-06-05,0.388
1998-06-12,0.335
1998-06-19,0.365
1998-06-26,0.377
1998-07-03,0.333
1998-07-10,0.301
1998-07-17,0.276
1998-07-24,0.329
1998-07-31,0.370
1998-08-07,0.431
1998-08-14,0.512
1998-08-21,0.541
1998-08-28,0.736
1998-09-04,0.968
1998-09-11,0.964
1998-09-18,1.001
1998-09-25,0.968
1998-10-02,1.089
1998-10-09,1.476
1998-10-16,1.528
1998-10-23,1.289
1998-10-30,1.105
1998-11-06,0.974
1998-11-13,1.057
1998-11-20,0.861
1998-11-27,0.603
1998-12-04,0.681
1998-12-11,0.724
1998-12-18,0.795
1998-12-25,0.698
1999-01-01,0.697
1999-01-08,0.672
1999-01-15,0.729
1999-01-22,0.714
1999-01-29,0.613
1999-02-05,0.612
1999-02-12,0.632
1999-02-19,0.642
1999-02-26,0.598
1999-03-05,0.699
1999-03-12,0.576
1999-03-19,0.550
1999-03-26,0.593
1999-04-02,0.593
1999-04-09,0.540
1999-04-16,0.569
1999-04-23,0.555
1999-04-30,0.511
1999-05-07,0.534
1999-05-14,0.574
1999-05-21,0.619
1999-05-28,0.686
1999-06-04,0.771
1999-06-11,0.805
1999-06-18,0.782
1999-06-25,0.767
1999-07-02,0.777
1999-07-09,0.780
1999-07-16,0.743
1999-07-23,0.802
1999-07-30,0.873
1999-08-06,0.937
1999-08-13,0.972
1999-08-20,0.921
1999-08-27,0.799
1999-09-03,0.914
1999-09-10,0.969
1999-09-17,0.987
1999-09-24,0.977
1999-10-01,1.074
1999-10-08,1.305
1999-10-15,1.292
1999-10-22,1.243
1999-10-29,1.196
1999-11-05,1.110
1999-11-12,0.978
1999-11-19,0.912
1999-11-26,0.921
1999-12-03,0.979
1999-12-10,0.956
1999-12-17,0.963
1999-12-24,0.954
1999-12-31,0.999
2000-01-07,1.039
2000-01-14,1.018
2000-01-21,0.976
2000-01-28,0.952
2000-02-04,0.965
2000-02-11,0.984
2000-02-18,0.944
2000-02-25,0.949
2000-03-03,0.911
2000-03-10,0.898
2000-03-17,0.928
2000-03-24,0.884
2000-03-31,1.007
2000-04-07,1.022
2000-04-14,1.096
2000-04-21,1.117
2000-04-28,1.174
2000-05-05,1.309
2000-05-12,1.330
2000-05-19,1.342
2000-05-26,1.422
2000-06-02,1.430
2000-06-09,1.268
2000-06-16,1.250
2000-06-23,1.254
2000-06-30,1.267
2000-07-07,1.154
2000-07-14,1.043
2000-07-21,1.009
2000-07-28,0.950
